question,ground_truth
"What is the duration of the Non-Competition Agreement's effectiveness, according to the amended Section 4?","The Agreement will continue until the expiration of the 'Sales Term' as defined in the Sales Dealer Agreement dated August 16, 2017 between Vivint and Vivint Solar Developer, LLC."
What is the maximum duration of this mobile application development agreement?,six (6) months
What entities are considered a 'Person' under the scope of this Non-Competition Agreement?,"an individual, corporation, body corporate, firm, limited liability company, partnership, syndicate, joint venture, society, association, trust or unincorporated organization"
What tax treatment do the Joint Venturers elect for this joint venture business under the Internal Revenue Code?,The Joint Venturers elect to be excluded from the application of all of the provisions of Subchapter K of Chapter 1 of the Subtitle A of the Code.
What type of clinical trial must demonstrate or confirm the therapeutic benefit of a product in accordance with the Development Agreement?,Phase III Clinical Trial
"What are the specific requirements for maintaining books and records by service providers obtained by Blockchain Administrator, as per this Development Agreement?",The Blockchain Administrator shall ensure that any such service provider shall maintain books and records of the Fund (if any) in a manner substantially similar to Section 2 of this Agreement.
What is required for the Term of the Venture to be extended?,The Term may be extended with the unanimous consent of all Members.
"According to Section 1.2 of the agreement, what specific uses is ChipMOS allowed to make of the Total Subscription Price?","ChipMOS may use the Total Subscription Price to replenish operating capital, recruit talents, and upgrade its technologies related to the semiconductor assembly and testing services."
"After termination of the Development Agreement, what payment terms apply to the Client for services rendered before the Termination Date?",The Client shall promptly pay the Developer according to the terms of Exhibit A for Services rendered before the effective date of the termination.
"What percentage of the Buyback Consideration will CNS receive if MBI terminates the Sublicense Agreement in whole or removes a portion of the sublicensed subject matter related to some or all of the Development Products, and what is the condition for this calculation?","The greater of (i) 50% of the Buyback Consideration that is attributable to the field of anti-viral pharmaceutical drug products for humans (such attribution to be mutually agreed upon by the Parties), and (ii) the amounts actually provided to WPD pursuant to Section 2.1 of this Agreement."
What are the costs and expenses that Bioeq shall bear in relation to the Development of Licensed Products?,all costs and expenses relating thereto
What constitutes 'Applicable Laws' under this Development Agreement?,"all applicable federal, state, local and foreign laws, ordinances, rules, regulations, orders, writs, injunctions and decrees of any kind."
"What types of documentation are considered necessary or useful for DIALOG to support the authorized manufacture, testing, sale, and support of the Products?","Product Specifications, data sheets, application notes, application board gerber files/BOM, sales and marketing collateral, Product errata, test reports, characterization reports, software (e.g., firmware, GUI), test plans, and yield data in connection with the manufacture and sale of Products."
